Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,,,,,,,,,,,,,,,,,,,,9545825,,
,,,,,,,,,,,,,,,,,,,,8221393,,
,,,,,,,,,,,,,,,,,,,,8566857,,
,,,,,,,,,,,,,,,,,,,,10088676,,
,,,,,,,,,,,,,,,,,,,,12026753,,
,,,,,,,,,,,,,,,,,,,,8833692,,
,,,,,,,,,,,,,,,,,,,,9330181,,
,,,,,,,,,,,,,,,,,,,,9607327,,
,,,,,,,,,,,,,,,,,,,,8055602,,
,,,,,,,,,,,,,,,,,,,,11053400,,
,,,,,,,,,,,,,,,,,,,,8868137,,
,,,,,,,,,,,,,,,,,,,,9468732,,
,,,,,,,,,,,,,,,,,,,,11943196,,
,,,,,,,,,,,,,,,,,,,,10740246,,
,,,,,,,,,,,,,,,,,,,,12543335,,
,,,,,,,,,,,,,,,,,,,,10560348,,
,,,,,,,,,,,,,,,,,,,,9216053,,
,,,,,,,,,,,,,,,,,,,,9273302,,
,,,,,,,,,,,,,,,,,,,,9322061,,
,,,,,,,,,,,,,,,,,,,,8342033,,
,,,,,,,,,,,,,,,,,,,,9406706,,
,,,,,,,,,,,,,,,,,,,,8190907,,
,,,,,,,,,,,,,,,,,,,,9791664,,
,,,,,,,,,,,,,,,,,,,,7653303,,
,,,,,,,,,,,,,,,,,,,,8598319,,
,,,,,,,,,,,,,,,,,,,,10390324,,
,,,,,,,,,,,,,,,,,,,,10325401,,
,,,,,,,,,,,,,,,,,,,,9550847,,
,,,,,,,,,,,,,,,,,,,,8444249,,
,,,,,,,,,,,,,,,,,,,,9178155,,
,,,,,,,,,,,,,,,,,,,,10623860,,
,,,,,,,,,,,,,,,,,,,,9763938,,
,,,,,,,,,,,,,,,,,,,,11529001,,
,,,,,,,,,,,,,,,,,,,,8600717,,
,,,,,,,,,,,,,,,,,,,,6792824,,
,,,,,,,,,,,,,,,,,,,,7458797,,
,,,,,,,,,,,,,,,,,,,,8431748,,
,,,,,,,,,,,,,,,,,,,,8355636,,
,,,,,,,,,,,,,,,,,,,,7854399,,
,,,,,,,,,,,,,,,,,,,,10380403,,
,,,,,,,,,,,,,,,,,,,,9010950,,
,,,,,,,,,,,,,,,,,,,,7439029,,
,,,,,,,,,,,,,,,,,,,,9273832,,
,,,,,,,,,,,,,,,,,,,,6684825,,
,,,,,,,,,,,,,,,,,,,,9382925,,
,,,,,,,,,,,,,,,,,,,,10062422,,
,,,,,,,,,,,,,,,,,,,,10270972,,
,,,,,,,,,,,,,,,,,,,,9889144,,
,,,,,,,,,,,,,,,,,,,,11617890,,
,,,,,,,,,,,,,,,,,,,,11906679,,
,,,,,,,,,,,,,,,,,,,,11097829,,
,,,,,,,,,,,,,,,,,,,,9795302,,
,,,,,,,,,,,,,,,,,,,,8632655,,
,,,,,,,,,,,,,,,,,,,,9624549,,
,,,,,,,,,,,,,,,,,,,,9812576,,
,,,,,,,,,,,,,,,,,,,,9783740,,
,,,,,,,,,,,,,,,,,,,,9697397,,
,,,,,,,,,,,,,,,,,,,,8407499,,
,,,,,,,,,,,,,,,,,,,,7226576,,
,,,,,,,,,,,,,,,,,,,,9769976,,
,,,,,,,,,,,,,,,,,,,,7829018,,
,,,,,,,,,,,,,,,,,,,,10609114,,
,,,,,,,,,,,,,,,,,,,,8741418,,
,,,,,,,,,,,,,,,,,,,,8240273,,
,,,,,,,,,,,,,,,,,,,,10814956,,
,,,,,,,,,,,,,,,,,,,,9764695,,
,,,,,,,,,,,,,,,,,,,,8207734,,
,,,,,,,,,,,,,,,,,,,,9351497,,
,,,,,,,,,,,,,,,,,,,,10329911,,
,,,,,,,,,,,,,,,,,,,,8535304,,
,,,,,,,,,,,,,,,,,,,,8989880,,
,,,,,,,,,,,,,,,,,,,,9284480,,
,,,,,,,,,,,,,,,,,,,,9904559,,
,,,,,,,,,,,,,,,,,,,,8044425,,
,,,,,,,,,,,,,,,,,,,,8675995,,
,,,,,,,,,,,,,,,,,,,,9244333,,
,,,,,,,,,,,,,,,,,,,,7409965,,
,,,,,,,,,,,,,,,,,,,,6614217,,
,,,,,,,,,,,,,,,,,,,,9036366,,
,,,,,,,,,,,,,,,,,,,,7866602,,
,,,,,,,,,,,,,,,,,,,,9363807,,
,,,,,,,,,,,,,,,,,,,,9773796,,
,,,,,,,,,,,,,,,,,,,,8103252,,
,,,,,,,,,,,,,,,,,,,,8425962,,
,,,,,,,,,,,,,,,,,,,,6852931,,
,,,,,,,,,,,,,,,,,,,,6715897,,
,,,,,,,,,,,,,,,,,,,,9680994,,
,,,,,,,,,,,,,,,,,,,,6285432,,
,,,,,,,,,,,,,,,,,,,,6890394,,
,,,,,,,,,,,,,,,,,,,,10201150,,
,,,,,,,,,,,,,,,,,,,,8461481,,
,,,,,,,,,,,,,,,,,,,,8524164,,
,,,,,,,,,,,,,,,,,,,,7605322,,
,,,,,,,,,,,,,,,,,,,,8482549,,
,,,,,,,,,,,,,,,,,,,,7623508,,
,,,,,,,,,,,,,,,,,,,,8354219,,
,,,,,,,,,,,,,,,,,,,,8123002,,
,,,,,,,,,,,,,,,,,,,,9136180,,
,,,,,,,,,,,,,,,,,,,,7639102,,
,,,,,,,,,,,,,,,,,,,,6446751,,
,,,,,,,,,,,,,,,,,,,,6327554,,
,,,,,,,,,,,,,,,,,,,,7897084,,
,,,,,,,,,,,,,,,,,,,,6464225,,
,,,,,,,,,,,,,,,,,,,,7206897,,
,,,,,,,,,,,,,,,,,,,,6324372,,
,,,,,,,,,,,,,,,,,,,,7280621,,
,,,,,,,,,,,,,,,,,,,,8349824,,
,,,,,,,,,,,,,,,,,,,,6320088,,
,,,,,,,,,,,,,,,,,,,,6847345,,
,,,,,,,,,,,,,,,,,,,,8523132,,
,,,,,,,,,,,,,,,,,,,,9439502,,
,,,,,,,,,,,,,,,,,,,,8971846,,
,,,,,,,,,,,,,,,,,,,,8138373,,
,,,,,,,,,,,,,,,,,,,,8727888,,
,,,,,,,,,,,,,,,,,,,,7206824,,
,,,,,,,,,,,,,,,,,,,,7845607,,
,,,,,,,,,,,,,,,,,,,,7240154,,
,,,,,,,,,,,,,,,,,,,,7553079,,
,,,,,,,,,,,,,,,,,,,,10231051,,
,,,,,,,,,,,,,,,,,,,,7401106,,
,,,,,,,,,,,,,,,,,,,,7192468,,
,,,,,,,,,,,,,,,,,,,,7885870,,
,,,,,,,,,,,,,,,,,,,,7242370,,
,,,,,,,,,,,,,,,,,,,,7217446,,
,,,,,,,,,,,,,,,,,,,,6302378,,
,,,,,,,,,,,,,,,,,,,,8377281,,
,,,,,,,,,,,,,,,,,,,,10312339,,
,,,,,,,,,,,,,,,,,,,,8017189,,
,,,,,,,,,,,,,,,,,,,,8273058,,
,,,,,,,,,,,,,,,,,,,,8271572,,
,,,,,,,,,,,,,,,,,,,,10550389,,
,,,,,,,,,,,,,,,,,,,,8921900,,
